"ID","Section","Key","English","Greek proposal","Your correction","Status","Notes"
"1044","Team Members","","You do not have permission to assign members to projects.","Δεν έχετε δικαίωμα να assign members to projects..","","Proposal",""
"1045","Team Members","","You do not have permission to change roles.","Δεν έχετε δικαίωμα να change roles..","","Proposal",""
"1046","Team Members","","You do not have permission to change this file display.","Δεν έχετε δικαίωμα να change this file display..","","Proposal",""
"1047","Team Members","","You do not have permission to complete this area.","Δεν έχετε δικαίωμα να complete this area..","","Proposal",""
"1048","Team Members","","You do not have permission to create admins.","Δεν έχετε δικαίωμα να create admins..","","Proposal",""
"1049","Team Members","","You do not have permission to create members.","Δεν έχετε δικαίωμα να create members..","","Proposal",""
"1050","Team Members","","You do not have permission to create projects.","Δεν έχετε δικαίωμα να create projects..","","Proposal",""
"1051","Team Members","","You do not have permission to deactivate this member.","Δεν έχετε δικαίωμα να deactivate this member..","","Proposal",""
"1052","Team Members","","You do not have permission to edit members.","Δεν έχετε δικαίωμα να edit members..","","Proposal",""
"1053","Team Members","","You do not have permission to edit this item.","Δεν έχετε δικαίωμα να edit this item..","","Proposal",""
"1054","Team Members","","You do not have permission to permanently delete this member.","Δεν έχετε δικαίωμα να permanently delete this member..","","Proposal",""
"1055","Team Members","","You do not have permission to promote someone to admin.","Δεν έχετε δικαίωμα να promote someone to admin..","","Proposal",""
"1056","Team Members","","You do not have permission to remove admin rights.","Δεν έχετε δικαίωμα να remove admin rights..","","Proposal",""
"1057","Team Members","","You do not have permission to remove admins.","Δεν έχετε δικαίωμα να remove admins..","","Proposal",""
"1058","Team Members","","You do not have permission to reopen this area.","Δεν έχετε δικαίωμα να reopen this area..","","Proposal",""
"1059","Team Members","","You do not have permission to restore members.","Δεν έχετε δικαίωμα να restore members..","","Proposal",""
"1060","Team Members","","You do not have permission to see project tasks.","Δεν έχετε δικαίωμα να see project tasks..","","Proposal",""
"1061","Clients","","You have to add name, project manager, and client first before editing.","","","Needs Greek","Please add/check Greek wording"
